Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,Dataset,Bounding_Box
c:1/2 - Cep152_gtub_021_SIR_PRJ.dv,1,0.254,0.254,0.249,0,0,2.410,0.877,5.214,4.859,54.162,0.477,CEP152,0.499
c:1/2 - Cep152_gtub_024_SIR_PRJ.dv,2,0.281,0.140,0.275,0,0,1.636,0.559,3.318,6.004,131.771,0.315,CEP152,0.549
c:1/2 - Cep152_gtub_026_SIR_PRJ.dv,4,0.356,0.089,0.348,0,0,0.997,0.393,5.728,6.606,103.732,0.237,CEP152,0.562
c:1/2 - Cep152_gtub_028_SIR_PRJ.dv,2,0.220,0.110,0.215,0,0,1.272,0.472,5.214,4.227,122.541,0.352,CEP152,0.244
c:1/2 - Cep152_gtub_031_SIR_PRJ.dv,4,0.214,0.053,0.209,0,0,0.793,0.323,3.634,6.646,119.756,0.205,CEP152,0.206
c:1/2 - Cep152_gtub_032_SIR_PRJ.dv,1,0.254,0.254,0.249,0,0,2.275,0.845,4.424,5.293,142.595,0.501,CEP152,0.505
c:1/2 - Cep152_gtub_033_SIR_PRJ.dv,3,0.215,0.072,0.211,0,0,0.963,0.368,5.096,4.964,108.528,0.255,CEP152,0.244
c:1/2 - JG_Cep152_gtub_001_SIR_PRJ.dv,2,0.192,0.096,0.188,0,0,1.263,0.496,7.505,4.167,92.092,0.275,CEP152,0.292
c:1/2 - JG_Cep152_gtub_002_SIR_PRJ.dv,5,0.247,0.049,0.241,0,0,0.868,0.306,5.980,7.489,119.087,0.237,CEP152,0.187
c:1/2 - JG_Cep152_gtub_003_SIR_PRJ.dv,3,0.203,0.068,0.198,0,0,0.803,0.306,4.938,5.517,124.032,0.237,CEP152,0.244
c:1/2 - JG_Cep152_gtub_004_SIR_PRJ.dv,4,0.229,0.057,0.224,0,0,0.838,0.320,3.950,4.562,69.002,0.237,CEP152,0.206
c:1/2 - JG_Cep152_gtub_005_SIR_PRJ.dv,2,0.271,0.136,0.266,0,0,1.419,0.506,6.004,5.530,65.510,0.411,CEP152,0.224
c:1/2 - JG_Cep152_gtub_006_SIR_PRJ.dv,2,0.382,0.191,0.374,0,0,1.633,0.576,5.194,5.155,92.695,0.474,CEP152,0.262
c:1/2 - JG_Cep152_gtub_007_SIR_PRJ.dv,11,0.335,0.030,0.328,0,0,0.623,0.263,4.643,5.674,99.213,0.168,CEP152,0.156
c:1/2 - JG_Cep152_gtub_008_SIR_PRJ.dv,11,0.431,0.039,0.421,0,0,0.692,0.283,6.360,5.807,86.958,0.179,CEP152,0.189
c:1/2 - JG_Cep152_gtub_009_SIR_PRJ.dv,4,0.169,0.042,0.165,0,0,0.748,0.308,4.938,4.197,59.330,0.194,CEP152,0.156
c:1/2 - JG_Cep152_gtub_011_SIR_PRJ.dv,1,0.379,0.379,0.371,0,0,2.745,0.942,5.016,4.464,123.024,0.647,CEP152,0.653
c:1/2 - JG_Cep152_gtub_014_SIR_PRJ.dv,3,0.339,0.113,0.331,0,0,1.169,0.436,4.503,4.516,62.399,0.349,CEP152,0.244
c:1/2 - JG_Cep152_gtub_017_SIR_PRJ.dv,1,0.268,0.268,0.262,0,0,2.345,0.866,5.293,4.819,155.772,0.470,CEP152,0.406
c:1/2 - JG_Cep152_gtub_018_SIR_PRJ.dv,4,0.304,0.076,0.298,0,0,0.983,0.349,2.716,6.429,137.466,0.240,CEP152,0.437
c:1/2 - JG_Cep152_gtub_019_SIR_PRJ.dv,2,0.410,0.205,0.401,0,0,1.968,0.672,7.268,7.051,93.724,0.363,CEP152,0.771
c:1/2 - JG_Cep152_gtub_020_SIR_PRJ.dv,21,0.897,0.043,0.877,0,0,0.860,0.367,5.099,4.283,78.053,0.171,CEP152,0.241
c:1/2 - JG_Cep152_gtub_021_SIR_PRJ.dv,4,0.373,0.093,0.365,0,0,1.191,0.421,5.096,7.347,74.009,0.303,CEP152,0.284
c:1/2 - JG_Cep152_gtub_022_SIR_PRJ.dv,2,0.367,0.183,0.359,0,0,1.761,0.625,4.878,5.372,42.019,0.474,CEP152,0.262
c:1/2 - JG_Cep152_gtub_023_SIR_PRJ.dv,1,0.304,0.304,0.298,0,0,2.647,0.825,5.412,4.069,73.301,0.532,CEP152,0.468
c:1/2 - JG_Cep152_gtub_024_SIR_PRJ.dv,4,0.279,0.070,0.273,0,0,0.975,0.353,5.303,4.730,56.461,0.255,CEP152,0.244
c:1/2 - JG_Cep152_gtub_025_SIR_PRJ.dv,2,0.281,0.140,0.275,0,0,1.693,0.593,6.952,5.589,100.305,0.296,CEP152,0.449
c:1/2 - JG_Cep152_gtub_027_SIR_PRJ.dv,2,0.175,0.087,0.171,0,0,0.998,0.389,4.622,2.903,69.592,0.276,CEP152,0.206
c:1/2 - JG_Cep152_gtub_028_SIR_PRJ.dv,3,0.209,0.070,0.204,0,0,1.199,0.417,5.780,4.753,128.785,0.277,CEP152,0.206
c:1/2 - JG_Cep152_gtub_030_SIR_PRJ.dv,2,0.275,0.137,0.269,0,0,1.756,0.540,5.017,4.523,92.764,0.419,CEP152,0.224
c:1/2 - JG_Cep152_gtub_031_SIR_PRJ.dv,3,0.387,0.129,0.378,0,0,1.436,0.563,7.663,5.254,62.722,0.303,CEP152,0.599
c:1/2 - JG_Cep152_gtub_032_SIR_PRJ.dv,3,0.237,0.079,0.232,0,0,1.044,0.416,4.292,4.464,124.306,0.262,CEP152,0.281
c:1/2 - JG_Cep152_gtub_033_SIR_PRJ.dv,3,0.186,0.062,0.182,0,0,0.819,0.316,6.715,6.452,113.014,0.237,CEP152,0.206
c:1/2 - JG_Cep152_gtub_034_SIR_PRJ.dv,4,0.215,0.054,0.211,0,0,0.801,0.327,3.772,4.651,106.370,0.224,CEP152,0.172
c:1/2 - JG_Cep152_gtub_035_SIR_PRJ.dv,19,0.866,0.046,0.847,0,0,0.986,0.410,6.114,6.183,61.833,0.186,CEP152,0.406
c:1/2 - JG_Cep152_gtub_036_SIR_PRJ.dv,3,0.240,0.080,0.235,0,0,1.158,0.475,5.398,4.082,75.123,0.284,CEP152,0.328
c:1/2 - JG_Cep152_gtub_039_SIR_PRJ.dv,1,0.214,0.214,0.209,0,0,2.522,0.922,4.424,5.135,170.134,0.474,CEP152,0.431
