Slice,Count,Total Area,Average Size,%Area,Mean,Image
c:1/3 - Centrin_Cpap_PCNTN20_019_SIR_PRJ.dv,2,0.151,0.076,0.148,0,1885008
c:1/2 - CPAP_gtub_001_SIR_PRJ.dv,5,0.389,0.078,0.380,0,1885009
c:1/2 - CPAP_gtub_002_SIR_PRJ.dv,3,0.225,0.075,0.220,0,1885010
c:1/2 - CPAP_gtub_003_SIR_PRJ.dv,4,0.226,0.057,0.221,0,1885011
c:1/2 - CPAP_gtub_005_SIR_PRJ.dv,2,0.276,0.138,0.270,0,1885012
c:1/2 - CPAP_gtub_006_SIR_PRJ.dv,2,0.167,0.083,0.163,0,1885013
c:1/2 - CPAP_gtub_007_SIR_PRJ.dv,2,0.158,0.079,0.154,0,1885014
c:1/2 - CPAP_gtub_008_SIR_PRJ.dv,3,0.183,0.061,0.179,0,1885015
c:1/2 - CPAP_gtub_009_SIR_PRJ.dv,2,0.150,0.075,0.146,0,1885016
c:1/2 - CPAP_gtub_012_SIR_PRJ.dv,4,0.201,0.050,0.197,0,1885017
c:1/2 - CPAP_gtub_013_SIR_PRJ.dv,2,0.204,0.102,0.200,0,1885018
c:1/2 - CPAP_gtub_015_SIR_PRJ.dv,2,0.128,0.064,0.125,0,1885019
c:1/2 - CPAP_gtub_016_SIR_PRJ.dv,2,0.094,0.047,0.092,0,1885020
c:1/2 - CPAP_gtub_017_SIR_PRJ.dv,2,0.189,0.094,0.185,0,1885021
c:1/2 - CPAP_gtub_019_SIR_PRJ.dv,5,0.164,0.033,0.160,0,1885022
c:1/2 - CPAP_gtub_020_SIR_PRJ.dv,2,0.287,0.144,0.281,0,1885023
c:1/2 - CPAP_gtub_022_SIR_PRJ.dv,2,0.098,0.049,0.096,0,1885024
c:1/2 - CPAP_gtub_023_SIR_PRJ.dv,2,0.126,0.063,0.124,0,1885025
c:1/2 - CPAP_gtub_025_SIR_PRJ.dv,1,0.148,0.148,0.145,0,1885026
c:1/2 - CPAP_gtub_026_SIR_PRJ.dv,4,0.161,0.040,0.157,0,1885027
c:1/2 - CPAP_gtub_027_SIR_PRJ.dv,2,0.164,0.082,0.160,0,1885028
c:1/2 - CPAP_gtub_028_SIR_PRJ.dv,5,0.267,0.053,0.261,0,1885029
c:1/2 - CPAP_gtub_029_SIR_PRJ.dv,5,0.142,0.028,0.139,0,1885030
c:1/2 - NEDD1141_NEDD1ab_I_001_SIR_PRJ.dv,7,0.150,0.021,0.146,0,1885031
c:1/2 - NEDD1141_NEDD1ab_I_002_SIR_PRJ.dv,5,0.170,0.034,0.166,0,1885032
c:1/2 - NEDD1141_NEDD1ab_I_006_SIR_PRJ.dv,8,0.398,0.050,0.389,0,1885033
c:1/2 - NEDD1141_NEDD1ab_I_007_SIR_PRJ.dv,5,0.343,0.069,0.336,0,1885034
c:1/2 - NEDD1141_NEDD1ab_I_010_SIR_PRJ.dv,9,0.452,0.050,0.443,0,1885035
c:1/2 - NEDD1141_NEDD1ab_I_011_SIR_PRJ.dv,3,0.349,0.116,0.342,0,1885036
c:1/2 - NEDD1141_NEDD1ab_I_012_SIR_PRJ.dv,3,0.365,0.122,0.357,0,1885037
c:1/2 - NEDD1141_NEDD1ab_I_013_SIR_PRJ.dv,8,0.462,0.058,0.452,0,1885038
c:1/2 - NEDD1141_NEDD1ab_I_015_SIR_PRJ.dv,4,0.396,0.099,0.388,0,1885039
c:1/2 - NEDD1141_NEDD1ab_I_016_SIR_PRJ.dv,8,0.176,0.022,0.172,0,1885040
c:1/2 - NEDD1141_NEDD1ab_I_017_SIR_PRJ.dv,6,0.487,0.081,0.476,0,1885041
c:1/2 - NEDD1141_NEDD1ab_I_018_SIR_PRJ.dv,3,0.371,0.124,0.363,0,1885042
c:1/2 - NEDD1141_NEDD1ab_I_019_SIR_PRJ.dv,3,0.349,0.116,0.342,0,1885043
c:1/2 - NEDD1141_NEDD1ab_I_022_SIR_PRJ.dv,3,0.378,0.126,0.369,0,1885044
c:1/2 - NEDD1141_NEDD1ab_I_023_SIR_PRJ.dv,6,0.451,0.075,0.441,0,1885045
c:1/2 - NEDD1141_NEDD1ab_I_024_SIR_PRJ.dv,6,0.465,0.077,0.455,0,1885046
c:1/2 - NEDD1141_NEDD1ab_I_025_SIR_PRJ.dv,1,0.426,0.426,0.417,0,1885047
c:1/2 - NEDD1141_NEDD1ab_I_026_SIR_PRJ.dv,2,0.314,0.157,0.307,0,1885048
c:1/2 - NEDD1141_NEDD1ab_I_027_SIR_PRJ.dv,2,0.253,0.126,0.247,0,1885049
c:1/2 - NEDD1141_NEDD1ab_I_028_SIR_PRJ.dv,4,0.490,0.122,0.479,0,1885050
c:1/2 - NEDD1141_NEDD1ab_I_029_SIR_PRJ.dv,7,0.321,0.046,0.314,0,1885051
